ZIP,LAT,LNG,City,State
02155,42.423844, -71.109231,MEDFORD,MA
02163,42.365915, -71.122177,BOSTON,MA
02169,42.248386, -71.002279,QUINCY,MA
02170,42.266415, -71.015576,QUINCY,MA
02171,42.293327, -71.018193,QUINCY,MA
02176,42.455723, -71.059019,MELROSE,MA
02180,42.474208, -71.097665,STONEHAM,MA
02184,42.206188, -71.002320,BRAINTREE,MA
02186,42.241559, -71.082437,MILTON,MA
02188,42.204662, -70.957633,WEYMOUTH,MA
02189,42.209781, -70.928176,EAST WEYMOUTH,MA
02190,42.166731, -70.952363,SOUTH WEYMOUTH,MA
02191,42.243453, -70.942033,NORTH WEYMOUTH,MA
02199,42.347476, -71.082035,BOSTON,MA
02203,42.360588, -71.058737,BOSTON,MA
02210,42.347472, -71.039271,BOSTON,MA
02215,42.347635, -71.103082,BOSTON,MA
02301,42.078371, -71.042304,BROCKTON,MA
02302,42.088907, -70.998375,BROCKTON,MA
02322,42.132461, -71.054013,AVON,MA
02324,41.972376, -70.978773,BRIDGEWATER,MA
02330,41.875179, -70.746715,CARVER,MA
02332,42.044407, -70.706060,DUXBURY,MA
02333,42.037116, -70.942178,EAST BRIDGEWATER,MA
02338,42.002634, -70.863706,HALIFAX,MA
02339,42.122956, -70.856310,HANOVER,MA
02341,42.050240, -70.867359,HANSON,MA
02343,42.140346, -70.997861,HOLBROOK,MA
02346,41.878004, -70.869267,MIDDLEBORO,MA
02347,41.834384, -70.956826,LAKEVILLE,MA
02351,42.115764, -70.956597,ABINGTON,MA
02356,42.060539, -71.119671,NORTH EASTON,MA
02357,42.054978, -71.080651,NORTH EASTON,MA
02359,42.067804, -70.805713,PEMBROKE,MA
02360,41.882062, -70.631289,PLYMOUTH,MA
02364,41.987196, -70.741942,KINGSTON,MA
02366,41.850984, -70.654984,SOUTH CARVER,MA
02367,41.959100, -70.802753,PLYMPTON,MA
02368,42.176092, -71.052043,RANDOLPH,MA
02370,42.130399, -70.910615,ROCKLAND,MA
02375,42.005690, -71.078041,SOUTH EASTON,MA
02379,42.021617, -71.026717,WEST BRIDGEWATER,MA
02382,42.078974, -70.939390,WHITMAN,MA
02420,42.457055, -71.215464,LEXINGTON,MA
02421,42.438547, -71.239573,LEXINGTON,MA
02445,42.325483, -71.135045,BROOKLINE,MA
